bioloogiline mitmekesisus tippkeskus,loom05
vene keel kateeder,flvk
vene keel metoodika kateeder,flvm
voorkeel kateeder,flvo
vene kirjandus kateeder,flvv
algoloogia oppelabor,bgal
botaanikaaed,bgba
botaanika ja ökoloogia kateeder,bgbe
bioloogia-geograafiateaduskond dekanaat,bgbg
bioindikatsioon labor,bgbl
botaanika ja ökoloogia instituut,bgbo
väliseesti uuring keskus,bgce
embrüonaalne histogen . sektor,bgeh
füüsiline geograafia kateeder,bgfg
geneetika ja tsütoloogia kateeder,bgge
geograafia instituut,bggg
geoinformaatika labor,bggi
geoloogia kateeder,bggk
geoloogia instituut,bggl
geoloogia muuseum,bggm
majandusgeograafia kateeder,bgma
arveldus talitus,dfrh01
molekulaar ja rakubioloogia kat,bgmi
isikumakse talitus,dfrh02
mineroloogia kabinet,bgmk
sihtfinantseerimine talitus,dfrh03
tartu ülikool molekulaar ja rakubioloogia instituut,bgmr
eelarvetalitus,dfrh04
ökoloogiajaam,bgoj
zooloogia ja hüdrobioloogia instituut,bgzh
zooloogia kateeder,bgzk
zooloogia muuseum,bgzm
"taimefüsioloogia , biokeemia kateeder",bgtb
analüütiline biokeemia labor,fkab
aeroelekter labor,fkae
anorgaaniline keemia kateeder,fkak
analüütiline keemia kateeder,fkan
biofüüsika labor,fkbf
tartu ülikool biomeditsiinitehnika ja meditsiinifüüsika teadus ja koolituskeskus,fkbm
bioorgaaniline keemia labor,fkbo
eksperimentaalfüüsika ja tehnoloogia instituut,fkef
elektrokeemia labor,fkek
epl mikroprotsessortehnika sektor,fkel
elektromeetria labor,fkem
"elektroluminitsents , pooljuht labor",fkep
ajalugu ja ühiskonnaõpetus didaktika keskus,flaj13
eksperimentaalfüüsika kateeder,fkex
nõukogu periood ajalugu uurimine keskus,flaj14
füüsika didaktika instituut,fkfd
orientalistikk keskus,flaj15
füüsikaline keemia instituut,fkfe
arheoloogia kabinet,flaj16
füüsika-keemiateaduskond dekanaat,fkfk
lõuna-eesti keel ja kultuuriuuring keskus,flee11
tartu ülikool katsekoda,fkft
pau arine soome-ugri põlisrahvas keskus,flee12
füüsikaosakond,fkfy
foneetika labor,flee13
geofüüsika kateeder,fkgk
briti uuring keskus,flgr09
happelis-aluseline tasak . labor,fkha
kanada uuring keskus,flgr10
keskonnakaitse füüsika labor,fkke
kultuuridevaheline kommunikatsioon keskus,flgr11
keskkonnafüüsika instituut,fkkf
põhja-ameerika uuring keskus,flgr12
kinesioloogia labor,fkki
robert schum prantsuse uuring keskus,flgr13
keemiline kineet ja katalüüs labor,fkkk
tõlkekeskus,flgr14
keskkonnakeemia labor,fkkl
vene keel testimiskeskus,flgr15
keemiline füüsika instituut,fkkm
keemiaosakond,fkko
laseroptika kateeder,fklk
lihastalitlus labor,fkll
materjaliteadus instituut,fkmf
orgaaniline ja bioorgaaniline keemia instituut,fkok
orgaaniline keemia kateeder,fkor
sisukirjeldus osakond,p1rt14
orgaaniline süntees labor,fkos
rakendusoptika labor,fkro
semiokeemia labor,fksk
teor . füüsika ja astrofüüsika kateeder,fkta
teoreetiline füüsika instituut,fktf
täppisteadus kool,fktp
üldfüüsika kateeder,fkyf
auto - motokabinet,kkam
kergejoustik kateeder,kkke
kehakultuuriteaduskond dekanaat,kkkk
keh-kasv oppej . kvalif . tostm tk,kkko
keha . kasvatus ja sport kateeder,kkks
kk tk . metoodikakabinet,kkmk
raskejoustik kateeder,kkrk
raskejoustik ja veesport kateeder,kkrv
spordibioloogia ja füsioteraapia instituut,kksb
spordikeskus,kksd
spordifüsioloogia kateeder,kksk
sportmäng kateeder,kkso
spordipedagoogika ja treeninguõpetus instituut,kksp
kogu arendus osakond,p1rt16
sporditeooria kateeder,kkst
suusasport kateeder,kksu
sp . teooria ja treeninguop . instituut,kktg
treeningprotsess uurimine labor,kktu
voimlemine kateeder,kkvk
veesport kateeder,kkvs
ettevõttemajandus instituut,mjjv
kaubandus kateeder,mjka
kaubandusökonoomika labor,mjko
majandusküberneetika ja statistika katee,mjks
mehh . arvestus ja masink . kabinet,mjme
majandusteaduskond dekanaat,mjmj
majandusinformaatika ja modelleerimisins,mjmm
majanduspol . ja riigimaj . instituut,mjmr
majandusteooria kateeder,mjmt
rahandus ja arvestus instituut,mjra
rahvamaj . ja ettev . üldd . ins .,mjre
rahandus ja krediit kateeder,mjrh
rahvamajandus instituut,mjri
raamatupidamine ja analüüs kateeder,mjrk
pedagogicum,repg
rahvamajandusharu ökon . kateeder,mjrv
turundus ja juhtimine instituut,mjtj
turundus kateeder,mjtr
algebra ja geomeetria kateeder,mtag
arvutustehnika labor,mtal
arvutusmatemaatika kateeder,mtam
arvutiteadus instituut,mtat
matemaatiline analüüs kateeder,mtma
matemaatika instituut,mtmm
matemaatiline statistika instituut,mtms
matemaatika-informaatikateaduskond dekanaat,mtmt
programmeerimine kateeder,mtpk
puhas matemaatika instituut,mtpm
rakendusmatemaatika labor,mtrl
rakendusmatemaatika instituut,mtrm
matemaatiline statistika kateeder,mtst
teoreetiline mehhaanika kateeder,mttk
avalik haldus osakond,soah
avalik haldus ja sotsiaaltöö osakond,soai
balti õping keskus,socc
isiksus ja sotsiaalpsühholoogia osakond,soph04
eripedagoogika osakond,soep
psühholoogia instituut,soph
politoloogia osakond,sopl
semiootika osakond,sose
sotsiaalteaduskond dekanaat,soso
sotsioloogia ja sotsiaalpoliitika instituut,soss
ajakirjandus ja kommunikatsioon instituut,sozu
üldsotsiaalteadus osakond,soyo
eripedagoogika osakond,htep
haridusteaduskond dekanaat,htht
haridusuuring ja õppekavaarendus keskus,htoa
õpetaja seminar,htos
pedagoogika osakond,htpk
rektoraat büroo,reaa
tartu ülikool ajalugu muuseum,ream
kaadriosakond,reka
tartu ülikool kunstimuuseum,rekl
klassikaline muinasteadus muuseum,reks
tü kirjastus,rekt
personaliosakond,repr
"halduspiirkond : välisterritoorium ülikool 18 , jakobi 1 , kuningaplats ; kinnistuma ravila 17 , lunini 16 , tulikas 1 , noorus 3 , viljandi mnt 42 ( v.a ravila 14. )",dhkv03ho
regionaalprojekt,rere
rektor reserv,rerr
tartu ülikool raamatukogu,rert
ülikool sihtasutus,resh
sisekontrolliosakond,resl
töö-ja kodanikukaitse osakond,retk
teabetalitus,rett
ülikool kantselei,reuk
"ajaleht "" ut """,reut
multimeediakeskus,p2ag
elukestev õpe keskus,p2av
tartu ülikool euroopa kolledž,p2ec
tartu ülikool narva kolledž,p2nc
õppeosakond,p2oo
üliõpilasesindus,p2ov
tartu ülikool pärnu kolledž,p2pc
tartu ülikool tür kolledž,p2tc
tervishoiuprojekt,p2te
täienduskoolituskeskus,p2tk
teaduskool,p2tp
kantsler tegevusvaldkond,k1
arvutuskeskus,p1ak
planeering ja hange osakond,k1hb
tartu ülikool füüsika instituut,p1fy
kinnisvaraosakond,k1kv
tartu ülikool eesti mereinstituut,p1mi
infotehnoloogia osakond,k1it
metrolabor,p1ml
ohutustalitus,k1hb01
oppe-ja teadustöö arenduskoda,p1op
planeerimistalitus,k1hb02
plaan - finantsosakond,p1pf
struktuurifond talitus,k1hb03
rahandusosakond,p1rh
arvestustalitus,k1kv01
raamatukogu,p1rt
ehitustalitus,k1kv02
teadus ja arendusosakond,p1ta
haldustalitus,k1kv03
täienduskeskus,p1tk
tehnovõrk ja elektripaigaldis talitus,k1kv04
tartu ülikool tehnoloogiakeskus,p1tl
puidugrupp,k1kv02pt
teabetalitus,p1tt
remondigrupp,k1kv02rt
multimeediakeskus,p4ag
"halduspiirkond : w . ostwald tn 1 , ravila 19",k1kv03bm
kaugkoolituskeskus,p4av
"halduspiirkond : salm 1a , salm 1b ( katlamaja )",k1kv03fh
tü narva kolledzh,p4nc
"halduspiirkond : jakobi 2 , jakobi 4 , loss 3 , loss 36 , ülikool 16 , näitus 2",k1kv03kh
täppisteadus kool,p4tp
"halduspiirkond : lai 34 , lai 36 , lai 38 , lai 40 , uba tn 4 / 6 , uba tn 10. , rada 32 , salm 1a , salm 1b ( katlamaja ) , liivi 4 ( rendipind )",k1kv03mj
infotehnoloogia osakond,dait
"halduspiirkond : riia 23 , riia 23b , vanemuis 46 , vanemuis 46. , vanemuis 21 ( rendipind )",k1kv03mr
tü kirjastus,dakt
"halduspiirkond : näitus 13. , näitus 20 , uppsala 4 , uppsala 6 , uppsala 8 , uppsala 10 , liivi 2",k1kv03oi
personaliosakond,dapr
"halduspiirkond : ülikool 17 , ülikool 18 , ülikool 18. , ülikool 18b , ülikool 20 , jakobi 1 , jakobi 5 , munk 4 , luts 1 , kuningaplats",k1kv03ph
teabetalitus,datt
"halduspiirkond : tiik 78 , j . liivi 2 , loss 36 , kinnistu kastan 43 , elamu tiik 80 välisterritoorium korrashoid",k1kv03ti
üldosakond,dauk
"halduspiirkond : kaarel pst 3 , teater väljak 3",k1kv03tl
rahandusosakond,dfrh
"halduspiirkond : ravila 17 , tulikas 1 , viljandi mnt 42 , riia 191 , riia 191a , riia 191b kinnistuma",k1kv03ho
tü tamm apteek,dhab
elektripaigaldis remondigrupp,k1kv04ep
tü kesklinn apteek,dhad
tehnovõrk remondigrupp,k1kv04tv
transpordiosakond,dhau
infrastruktuur talitus,k1it01
tartu ülikool botaanikaaed,dhba
infosüsteem talitus,k1it02
ehituskorraldus osakond,dhek
kasutajatugi talitus,k1it03
haldusdirektor büroo,dhhb
foto ja videotalitus,k1it04
tü kääriku spordi-ja puhkekeskus,dhkb
õppetehnika talitus,k1it05
tü kohvik,dhkh
server grupp,k1it01sg
kommunikatsioonitehnika osakond,dhko
turundus ja kommunikatsiooniosakond,k1ko
haldusosakond,dhkv
tartu ülikool spordibaas,dhls
peainseneriosakond,dhpi
tü raamatupood,dhrk
"tü apteek "" tamm """,p3ab
"tü apteek "" kesklinn """,p3ad
transpordiosakond,p3au
ehituskorraldus osakond,p3ek
gaudeamus büroo,p3gb
teabetalitus,k1ko01
käärik spordibaas,p3kb
ajakiri universitt tartuensima,k1ko02
ülikool kohvik,p3kh
multimeedia talitus,k1ko03
kommunikatsioonitehnika osakond,p3ko
personaliosakond,k1pr
kinnisvara osakond,p3kv
kantselei,k1uk
linn spordibaas,p3ls
arhiiv,k1uk01
peainseneriosakond,p3pi
tartu ülikool raamatupood,p3rk
raamatupidamine osakond,p3rp
sobrama maja,p3sm
varustusosakond,p3vr
eesti ajalugu kateeder,faea
eripedagoogika kateeder,faek
eripedagoogika oppekabinet,faeo
eksperimentaalpsühhol . oppelabor,faep
lähiajalugu kateeder,falk
nsvl ajalugu kateeder,fans
psühholoogia kateeder,fapk
psühholoogia oppelabor,faps
sotsioloogia kateeder,fask
skandinaavia kogumik toimetus,fast
